t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
7.400000,0.000419,0.949772,0.000000,0.000422,0,0.000016,1.327072,0.000293,1.313467,0.671201,0.491949,0.000000,1.638428,-0.283897,0,6.021940,1,stable
7.500000,0.000379,0.942661,-0.000000,0.000422,4,0.000016,1.309811,0.000295,1.312132,0.662256,0.490780,0.000000,1.638428,-0.268108,0,6.293375,1,stable
7.600000,0.000659,0.934548,-0.000000,0.000430,0,0.000016,1.336031,0.000301,1.313467,0.653541,0.501000,0.000000,1.634306,-0.172602,0,6.632135,1,stable
7.700000,0.000943,0.927558,-0.000000,0.000444,0,0.000016,1.368124,0.000313,1.317356,0.645063,0.518745,0.000000,1.634306,0.262197,0,7.009440,1,stable
7.800000,0.000744,0.923592,-0.000000,0.000466,0,0.000016,1.399236,0.000331,1.323459,0.636791,0.529466,0.000000,1.634306,0.320926,0,7.577951,1,stable
7.900000,0.000265,0.923588,-0.000000,0.000497,0,0.000017,1.428841,0.000354,1.331227,0.628741,0.528041,0.000000,1.634306,0.311126,0,8.246821,1,stable
8,-0.000855,0.926469,-0.000000,0.000538,0,0.000017,1.456501,0.000386,1.339942,0.620889,0.537071,0.000001,1.634306,0.296042,0,8.973186,1,stable
8.100000,-0.001796,0.928852,0.000000,0.000591,0,0.000015,1.481904,0.000426,1.348769,0.613261,0.558258,0.000001,1.630492,0.276605,0,9.839863,1,stable
8.200000,-0.001040,0.926365,0.000000,0.000659,0,0.000015,1.504880,0.000478,1.356829,0.605770,0.576951,0.000001,1.630492,0.254034,0,10.089485,1,stable
8.300000,-0.000628,0.916137,0.000000,0.000745,0,0.000015,1.525406,0.000544,1.363293,0.598676,0.589521,0.000002,1.630492,0.229753,0,10.352101,1,stable
8.400000,-0.000423,0.899078,0.000000,0.000854,0,0.000015,1.543599,0.000627,1.367475,0.591456,0.608136,0.000003,1.630492,0.205259,0,10.594137,1,stable
8.500000,0.000245,0.880554,0.000000,0.000992,0,0.000015,1.559678,0.000733,1.368921,0.584496,0.635027,0.000006,1.630492,0.181932,0,10.847762,1,stable
8.600000,0.001177,0.868472,0.000000,0.001167,0,0.000015,1.579709,0.000868,1.367475,0.577706,0.647872,0.000005,1.626558,0.160787,0,11.256924,1,stable
8.700000,0.002846,0.869010,-0.000000,0.001389,0,0.000015,1.603325,0.001040,1.363293,0.571073,0.628477,0.000010,1.627671,0.200314,0,11.698162,1,stable
8.800000,0.004810,0.882722,-0.000000,0.001671,0,0.000015,1.623658,0.001260,1.356829,0.564632,0.635466,0.000009,1.629552,0.236160,0,12.799614,1,chronique
8.900000,0.005959,0.904370,-0.000001,0.002032,0,0.000015,1.639597,0.001542,1.348769,0.558295,0.718454,0.000005,1.632395,0.203327,0,14.130041,1,chronique
9,0.005587,0.926469,-0.000001,0.002493,0,0.000015,1.650001,0.001905,1.339942,0.552110,0.802611,0.000024,1.635722,0.159388,0,13.622485,1,chronique
9.100000,0.003558,0.943205,-0.000001,0.003084,0,0.000015,1.653692,0.002373,1.331227,0.546229,0.749264,0.000053,1.636473,0.104044,0,14.026100,1,chronique
9.200000,0.000264,0.952136,-0.000002,0.003841,0,0.000015,1.649426,0.002975,1.323459,0.540555,0.578292,0.000085,1.639876,0.036912,0,14.077879,1,chronique
9.300000,-0.003175,0.953688,-0.000004,0.004809,0,0.000015,1.635861,0.003751,1.317356,0.534911,0.633982,0.000086,1.642918,-0.042666,0,14.130041,1,chronique
9.400000,-0.005069,0.949772,-0.000005,0.006046,0,0.000015,1.611551,0.004747,1.313467,0.529205,0.655642,0.000272,1.645109,-0.135650,0,15.134136,1,chronique
9.500000,-0.004269,0.942661,-0.000004,0.007615,0,0.000016,1.574991,0.006019,1.312132,0.523755,0.650423,0.000691,1.645542,-0.243093,0,15.460428,1,chronique
9.600000,-0.001265,0.934548,0.000005,0.009591,0,0.000016,1.530342,0.007630,1.313467,0.518899,0.696495,0.000718,1.643431,-0.365599,0,15.865254,1,chronique
9.700000,-0.005168,0.927558,0.000022,0.012050,0,0.000016,1.475941,0.009645,1.317357,0.514036,0.762152,0.001198,1.643431,-0.446490,0,16.291851,1,chronique
9.800000,-0.036830,0.923592,0.000048,0.015063,0,0.000016,1.404716,0.012126,1.323460,0.510374,0.855558,0.002721,1.643431,-0.544009,0,15.865254,1,chronique
9.900000,-0.052474,0.923588,0.000072,0.018683,0,0.000017,1.316342,0.015119,1.331228,0.555421,0.914821,0.002889,1.643431,-0.712255,0,15.460428,1,chronique
10,0.007458,0.926469,0.000037,0.022926,0,0.000016,1.212013,0.018638,1.339943,0.527686,0.778055,0.008309,1.643431,-0.883744,0,15.310058,1,chronique
10.100000,0.059627,0.928852,0.000034,0.027755,0,0.000017,1.094582,0.022656,1.348771,0.864074,0.835400,0.010003,1.641088,-1.043288,0,15.162586,1,chronique
10.200000,0.076403,0.926365,0.000166,0.033070,0,0.000015,0.968346,0.027085,1.356823,0.727170,0.897784,0.012553,1.641088,-1.174304,0,14.628115,1,stable
10.300000,0.021153,0.916137,-0.000104,0.038710,0,0.000015,0.838636,0.031792,1.363284,0.770525,0.815285,0.013721,1.641088,-1.262363,0,14.130041,1,stable
10.400000,0.018381,0.899078,-0.000507,0.044470,0,0.000015,0.710920,0.036603,1.367452,1.145276,0.753709,0.020839,1.641088,-1.297096,0,14.077879,1,stable
10.500000,0.062912,0.880554,-0.000916,0.050136,0,0.000015,0.590275,0.041339,1.368896,0.992204,0.784862,0.026602,1.641088,-1.277170,0,14.026100,1,stable
10.600000,0.024314,0.868472,-0.000446,0.055514,0,0.000015,0.486314,0.045836,1.367476,1.127175,0.864408,0.019859,1.638840,-1.206444,0,13.573996,1,stable
10.700000,-0.080692,0.869010,0.000685,0.060459,0,0.000015,0.401109,0.049974,1.363303,1.205425,0.818595,0.032089,1.638840,-1.039611,0,13.150127,1,stable
10.800000,-0.165899,0.882722,0.000972,0.064882,0,0.000015,0.328720,0.053679,1.356836,1.513417,0.866719,0.019080,1.638840,-0.852050,0,12.749647,1,stable
10.900000,-0.190920,0.904370,0.000472,0.068749,0,0.000015,0.268090,0.056923,1.348782,1.371958,0.822756,0.013618,1.638840,-0.723895,0,24.765432,1,stable
11,-0.163692,0.926469,-0.000039,0.072069,0,0.000015,0.217684,0.059714,1.339969,1.552243,0.785961,0.028110,1.638840,-0.606300,0,27.425598,1,stable
11.100000,-0.100500,0.943205,-0.000159,0.074881,0,0.000015,0.175766,0.062085,1.331272,1.767600,0.731256,0.034248,1.636675,-0.504059,0,26.428744,1,stable
11.200000,-0.014130,0.952136,0.000128,0.077239,0,0.000015,0.140693,0.064079,1.323521,1.876348,0.680323,0.033249,1.636675,-0.419174,0,26.007196,1,stable
11.300000,0.072325,0.953688,0.000660,0.079201,0,0.000016,0.111082,0.065745,1.317434,1.912810,0.669947,0.029991,1.636675,-0.350737,0,25.598884,1,stable
11.400000,0.107995,0.949772,0.001232,0.080826,0,0.000016,0.085879,0.067131,1.313555,1.888141,0.698229,0.044955,1.636675,-0.296109,0,25.408613,1,stable
11.500000,0.030547,0.942661,0.001617,0.082167,0,0.000016,0.064361,0.068280,1.312215,1.990055,0.676632,0.063034,1.636675,-0.252031,0,25.221149,1,stable
11.600000,-0.105557,0.934548,0.001503,0.083269,0,0.000016,0.051489,0.069230,1.313498,2.791014,0.650755,0.055185,1.634301,-0.215172,0,24.581329,1,stable
11.700000,-0.039079,0.927558,0.000496,0.084172,0,0.000015,0.046617,0.070011,1.317280,3.034414,0.731596,0.025346,1.634301,-0.128721,0,23.973168,1,stable
11.800000,0.205097,0.923592,-0.001175,0.084907,0,0.000015,0.043308,0.070651,1.323352,4.171284,0.715592,0.073575,1.634301,-0.048722,0,21.861655,1,stable
