t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
8.100000,-0.001795,0.928852,0.000000,0.000591,0,0.000017,1.481904,0.000426,1.348769,0.591440,0.554177,0.000001,1.630492,0.276605,0,9.618350,stable
8.200000,-0.001039,0.926365,0.000000,0.000659,0,0.000018,1.504880,0.000478,1.356829,0.584215,0.573824,0.000001,1.630492,0.254034,0,9.843499,stable
8.300000,-0.000627,0.916137,0.000000,0.000745,0,0.000018,1.525406,0.000544,1.363293,0.577381,0.588081,0.000002,1.630492,0.229753,0,10.079441,stable
8.400000,-0.000423,0.899078,0.000000,0.000854,0,0.000017,1.543599,0.000627,1.367475,0.570413,0.607911,0.000003,1.630492,0.205259,0,10.238387,stable
8.500000,0.000246,0.880554,0.000000,0.000992,0,0.000018,1.559678,0.000733,1.368921,0.563701,0.634722,0.000006,1.630492,0.181932,0,10.402427,stable
8.600000,0.001179,0.868472,0.000000,0.001167,0,0.000018,1.579709,0.000868,1.367475,0.557154,0.645913,0.000005,1.626558,0.160787,0,10.898584,stable
8.700000,0.002850,0.869010,-0.000000,0.001389,0,0.000017,1.603325,0.001040,1.363293,0.550756,0.624451,0.000010,1.627671,0.200314,0,11.444441,stable
8.800000,0.004818,0.882722,-0.000000,0.001671,0,0.000017,1.623658,0.001260,1.356829,0.544547,0.630948,0.000009,1.629552,0.236160,0,12.491129,chronique
8.900000,0.005970,0.904370,-0.000001,0.002032,0,0.000017,1.639597,0.001542,1.348769,0.538436,0.713638,0.000005,1.632395,0.203327,0,13.748546,chronique
9,0.005599,0.926469,-0.000001,0.002493,0,0.000018,1.650001,0.001905,1.339942,0.532471,0.796361,0.000024,1.635722,0.159388,0,13.211627,chronique
9.100000,0.003572,0.943205,-0.000001,0.003084,0,0.000018,1.653692,0.002373,1.331227,0.526806,0.739499,0.000053,1.636473,0.104044,0,13.557833,chronique
9.200000,0.000283,0.952136,-0.000002,0.003841,0,0.000018,1.649426,0.002975,1.323459,0.521343,0.572013,0.000085,1.639876,0.036912,0,13.652524,chronique
9.300000,-0.003156,0.953688,-0.000004,0.004809,0,0.000018,1.635861,0.003751,1.317356,0.515905,0.628068,0.000086,1.642918,-0.042666,0,13.748546,chronique
9.400000,-0.005062,0.949772,-0.000005,0.006046,0,0.000017,1.611551,0.004747,1.313467,0.510401,0.653761,0.000272,1.645109,-0.135650,0,14.684450,chronique
9.500000,-0.004220,0.942661,-0.000004,0.007615,0,0.000018,1.574991,0.006019,1.312132,0.505147,0.653377,0.000691,1.645542,-0.243093,0,14.996510,chronique
9.600000,-0.001082,0.934548,0.000005,0.009591,0,0.000017,1.530342,0.007630,1.313467,0.500506,0.699236,0.000718,1.643431,-0.365599,0,15.367391,chronique
9.700000,-0.004933,0.927558,0.000022,0.012050,0,0.000017,1.475941,0.009645,1.317357,0.495871,0.763492,0.001198,1.643431,-0.446490,0,15.757082,chronique
9.800000,-0.036494,0.923592,0.000048,0.015063,0,0.000017,1.404716,0.012126,1.323460,0.492403,0.855544,0.002721,1.643431,-0.544009,0,15.570968,chronique
9.900000,-0.052229,0.923588,0.000072,0.018683,0,0.000017,1.316342,0.015119,1.331228,0.537535,0.915713,0.002889,1.643431,-0.712255,0,15.389199,chronique
10,0.007689,0.926469,0.000037,0.022926,0,0.000018,1.212013,0.018638,1.339943,0.509977,0.779194,0.008309,1.643431,-0.883744,0,15.190317,chronique
