t,S(t),C(t),effort(t),mean_abs_error,fluidity,entropy_S,gamma,En_mean(t),On_mean(t)
9.200000,0.213601,0.707388,0.002888,0.142725,0.988011,0.045739,0.400000,-0.125637,0.017088
9.250000,0.394563,0.707388,0.002643,0.149538,0.988035,0.057630,0.400000,-0.117973,0.031565
9.300000,0.564128,0.707388,0.002338,0.154651,0.988045,0.069145,0.400000,-0.109521,0.045130
9.350000,0.720054,0.707388,0.002136,0.157998,0.988038,0.079160,0.400000,-0.100394,0.057604
9.400000,0.860469,0.707388,0.002054,0.159551,0.988015,0.087053,0.400000,-0.090714,0.068837
9.450000,0.983913,0.707388,0.001968,0.159322,0.987976,0.092636,0.400000,-0.080609,0.078713
9.500000,1.089370,0.707388,0.002053,0.157360,0.987923,0.096043,0.400000,-0.070211,0.087150
9.550000,1.176273,0.707388,0.002186,0.153752,0.987859,0.097602,0.400000,-0.059650,0.094102
9.600000,1.244504,0.707388,0.002322,0.148615,0.987791,0.097726,0.400000,-0.049055,0.099560
9.650000,1.294363,0.707388,0.002455,0.142096,0.987722,0.096830,0.400000,-0.038547,0.103549
9.700000,1.326525,0.707388,0.002582,0.134365,0.987656,0.095287,0.400000,-0.028243,0.106122
9.750000,1.341979,0.707388,0.002695,0.125604,0.987599,0.093410,0.400000,-0.018245,0.107358
9.800000,1.341958,0.707388,0.002879,0.116005,0.987552,0.091451,0.400000,-0.008648,0.107357
9.850000,1.327873,0.707388,0.003189,0.105760,0.987517,0.089611,0.400000,0.000470,0.106230
9.900000,1.301243,0.707388,0.003446,0.102457,0.987496,0.088053,0.400000,0.009040,0.104099
9.950000,1.263640,0.707388,0.003648,0.101008,0.987487,0.086919,0.400000,0.017010,0.101091
10,1.216640,0.707388,0.003791,0.099100,0.987490,0.086335,0.400000,0.024338,0.097331
10.050000,1.161787,0.707388,0.003877,0.096649,0.987501,0.086427,0.400000,0.030995,0.092943
10.100000,1.100575,0.707388,0.003907,0.093566,0.987521,0.087313,0.400000,0.036964,0.088046
10.150000,1.034427,0.707388,0.003884,0.089766,0.987547,0.089113,0.400000,0.042239,0.082754
10.200000,0.964691,0.707388,0.003812,0.088446,0.987578,0.091927,0.400000,0.046822,0.077175
10.250000,0.892644,0.707388,0.003696,0.089057,0.987611,0.095838,0.400000,0.050724,0.071411
10.300000,0.819490,0.707388,0.003542,0.088931,0.987646,0.100891,0.400000,0.053965,0.065559
10.350000,0.746384,0.707388,0.003352,0.088076,0.987682,0.107099,0.400000,0.056571,0.059711
10.400000,0.674441,0.707388,0.003133,0.086510,0.987718,0.114440,0.400000,0.058573,0.053955
10.450000,0.604769,0.707388,0.002886,0.086021,0.987754,0.122866,0.400000,0.060009,0.048382
10.500000,0.538488,0.707388,0.002789,0.087811,0.987788,0.132319,0.400000,0.060923,0.043079
10.550000,0.476757,0.707388,0.003392,0.088733,0.987820,0.142736,0.400000,0.061362,0.038141
10.600000,0.420793,0.707388,0.003980,0.088755,0.987849,0.154061,0.400000,0.061379,0.033663
10.650000,0.371869,0.707388,0.004532,0.087843,0.987875,0.166253,0.400000,0.061034,0.029750
10.700000,0.331293,0.707388,0.005043,0.085966,0.987897,0.179296,0.400000,0.060389,0.026503
10.750000,0.300349,0.707388,0.005466,0.083099,0.987915,0.193201,0.400000,0.059513,0.024028
10.800000,0.280212,0.707388,0.005771,0.079233,0.987926,0.208011,0.400000,0.058481,0.022417
10.850000,0.271825,0.707388,0.005938,0.078295,0.987932,0.223803,0.400000,0.057371,0.021746
10.900000,0.275771,0.707388,0.005955,0.082771,0.987933,0.240682,0.400000,0.056262,0.022062
10.950000,0.292167,0.707388,0.005822,0.087582,0.987930,0.258768,0.400000,0.055233,0.023373
11,0.320602,0.707388,0.005550,0.091679,0.987927,0.278183,0.400000,0.054363,0.025648
11.050000,0.360136,0.707388,0.005327,0.093951,0.987925,0.299021,0.400000,0.053719,0.028811
11.100000,0.409349,0.707388,0.006031,0.094418,0.987929,0.321316,0.400000,0.053364,0.032748
11.150000,0.466415,0.707388,0.006684,0.093195,0.987939,0.344997,0.400000,0.053345,0.037313
11.200000,0.529168,0.707388,0.007205,0.090478,0.987956,0.369819,0.400000,0.053697,0.042333
11.250000,0.595170,0.707388,0.007545,0.086519,0.987980,0.395279,0.400000,0.054437,0.047614
11.300000,0.661769,0.707388,0.007661,0.084588,0.988009,0.420484,0.400000,0.055567,0.052942
11.350000,0.726194,0.707388,0.007528,0.092331,0.988040,0.444000,0.400000,0.057071,0.058096
11.400000,0.785690,0.707388,0.007139,0.098268,0.988069,0.463690,0.400000,0.058918,0.062855
11.450000,0.837682,0.707388,0.006515,0.102164,0.988093,0.476617,0.400000,0.061057,0.067015
11.500000,0.879961,0.707388,0.005699,0.103911,0.988110,0.479103,0.400000,0.063425,0.070397
11.550000,0.910842,0.707388,0.004748,0.103524,0.988117,0.467131,0.400000,0.065949,0.072867
11.600000,0.929272,0.707388,0.003725,0.101126,0.988116,0.437326,0.400000,0.068547,0.074342
11.650000,0.934863,0.707388,0.002689,0.096923,0.988108,0.388765,0.400000,0.071134,0.074789
11.700000,0.927875,0.707388,0.002607,0.091171,0.988098,0.325037,0.400000,0.073627,0.074230
11.750000,0.909128,0.707388,0.002751,0.084153,0.988089,0.254901,0.400000,0.075951,0.072730
11.800000,0.879900,0.707388,0.003083,0.076157,0.988085,0.190351,0.400000,0.078038,0.070392
11.850000,0.841805,0.707388,0.003616,0.067771,0.988087,0.143292,0.400000,0.079830,0.067344
11.900000,0.796672,0.707388,0.004136,0.067825,0.988097,0.122985,0.400000,0.081287,0.063734
11.950000,0.746436,0.707388,0.004633,0.067626,0.988113,0.133598,0.400000,0.082379,0.059715
