t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t)
6.100000,0.000000,0.928852,-0.000000,0.001536,0,0.000018,1.634665,0.001023,1.348769,0.000007,0.616798,0.021611,1.638758,-0.105707,0,8.165602,1,chronique,0.021611,0.000000,0.000008
6.200000,0.000000,0.926365,-0.000000,0.001292,0,0.000019,1.616151,0.000862,1.356829,0.000007,0.635777,0.020531,1.643541,-0.146905,0,9.431726,1,chronique,0.020531,0.000000,0.000011
6.300000,-0.000000,0.916137,-0.000000,0.001097,0,0.000019,1.594234,0.000733,1.363293,0.000007,0.640219,0.019504,1.645625,-0.185139,0,11.162542,1,chronique,0.019504,-0.000000,0.000015
6.400000,-0.000000,0.899078,-0.000000,0.000941,0,0.000018,1.569464,0.000631,1.367475,0.000007,0.635221,0.018529,1.645826,-0.219171,0,11.448700,1,chronique,0.018529,-0.000000,0.000020
6.500000,0.000000,0.880554,-0.000000,0.000817,0,0.000018,1.542506,0.000549,1.368921,0.000007,0.627363,0.017603,1.645826,-0.247699,0,11.749915,1,chronique,0.017603,-0.000000,0.000028
6.600000,-0.000000,0.868472,0.000000,0.000718,0,0.000019,1.519911,0.000484,1.367475,0.000007,0.621226,0.016722,1.641954,-0.269577,0,12.166346,1,chronique,0.016722,-0.000000,0.000037
6.700000,-0.000000,0.869010,0.000000,0.000639,0,0.000019,1.501856,0.000432,1.363293,0.000007,0.622709,0.015886,1.641954,-0.225953,0,12.613378,1,chronique,0.015886,-0.000000,0.000050
6.800000,-0.000000,0.882722,0.000000,0.000576,0,0.000019,1.482114,0.000391,1.356829,0.000007,0.632151,0.015092,1.641954,-0.180548,0,13.910296,1,chronique,0.015092,-0.000000,0.000068
6.900000,-0.000000,0.904370,0.000000,0.000527,0,0.000019,1.460341,0.000359,1.348769,0.000007,0.643869,0.014337,1.641954,-0.197426,0,15.504478,1,chronique,0.014337,-0.000000,0.000091
7,-0.000000,0.926469,0.000000,0.000489,0,0.000020,1.436335,0.000334,1.339942,0.000007,0.648666,0.013621,1.641954,-0.217724,0,16.218860,1,chronique,0.013620,-0.000000,0.000123
7.100000,0.000000,0.943205,0.000000,0.000461,0,0.000020,1.410057,0.000316,1.331227,0.000006,0.643394,0.012939,1.638428,-0.240068,0,17.002252,1,chronique,0.012939,0.000000,0.000167
7.200000,0.000000,0.952136,0.000000,0.000440,0,0.000019,1.382272,0.000303,1.323459,0.000006,0.648232,0.012292,1.638428,-0.262776,0,18.185292,1,chronique,0.012292,0.000000,0.000225
7.300000,0.000000,0.953688,0.000000,0.000428,0,0.000020,1.353882,0.000296,1.317356,0.000006,0.693695,0.011678,1.638428,-0.277849,0,19.545279,1,stable,0.011678,0.000000,0.000303
7.400000,-0.000000,0.949772,0.000000,0.000422,0,0.000019,1.327072,0.000293,1.313467,0.000006,0.736965,0.011094,1.638428,-0.283897,0,21.840773,1,stable,0.011094,0.000000,0.000410
7.500000,-0.000000,0.942661,-0.000000,0.000422,4,0.000020,1.309811,0.000295,1.312132,0.000006,0.737341,0.010539,1.638428,-0.268108,0,24.747208,1,stable,0.010539,0.000000,0.000553
7.600000,0.000000,0.934548,-0.000000,0.000430,0,0.000019,1.336031,0.000301,1.313467,0.000006,0.730134,0.010012,1.634306,-0.172602,0,28.173108,1,stable,0.010012,0.000000,0.000746
7.700000,0.000000,0.927558,-0.000000,0.000444,0,0.000020,1.368124,0.000313,1.317356,0.000006,0.742127,0.009512,1.634306,0.262197,0,32.699953,1,stable,0.009512,0.000000,0.001007
7.800000,0.000000,0.923592,-0.000000,0.000466,0,0.000020,1.399236,0.000331,1.323459,0.000006,0.748426,0.009036,1.634306,0.320926,0,34.520330,1,stable,0.009036,0.000000,0.001359
7.900000,0.000000,0.923588,-0.000000,0.000497,0,0.000020,1.428841,0.000354,1.331227,0.000006,0.740047,0.008584,1.634306,0.311126,0,36.555333,1,stable,0.008584,0.000000,0.001833
8,-0.000000,0.926469,-0.000000,0.000538,0,0.000020,1.456501,0.000386,1.339942,0.000006,0.741288,0.008156,1.634306,0.296042,0,37.733893,1,stable,0.008155,-0.000000,0.002473
8.100000,-0.000000,0.928852,0.000000,0.000591,0,0.000019,1.481904,0.000426,1.348769,0.000006,0.744184,0.007749,1.630492,0.276605,0,38.990979,1,stable,0.007747,-0.000001,0.003335
8.200000,-0.000000,0.926365,0.000000,0.000659,0,0.000020,1.504880,0.000478,1.356829,0.000006,0.744903,0.007361,1.630492,0.254034,0,39.061366,1,stable,0.007360,-0.000001,0.004496
8.300000,-0.000000,0.916137,0.000000,0.000745,0,0.000026,1.525406,0.000544,1.363293,0.000005,0.745189,0.006993,1.630492,0.229753,0,39.132008,1,stable,0.006992,-0.000001,0.006060
8.400000,-0.000000,0.899078,0.000000,0.000854,0,0.000018,1.543599,0.000627,1.367475,0.000005,0.749905,0.006643,1.630492,0.205259,0,39.913176,1,stable,0.006642,-0.000001,0.008163
8.500000,0.000000,0.880554,0.000000,0.000992,0,0.000018,1.559678,0.000733,1.368921,0.000005,0.747437,0.006309,1.630492,0.181932,0,40.726168,1,stable,0.006310,0.000001,0.010987
8.600000,0.000000,0.868472,0.000000,0.001167,0,0.000019,1.579709,0.000868,1.367475,0.000005,0.747510,0.005991,1.626558,0.160787,0,42.545749,1,stable,0.005995,0.000003,0.014774
8.700000,0.000000,0.869010,-0.000000,0.001389,0,0.000019,1.603325,0.001040,1.363293,0.000005,0.746971,0.005684,1.627671,0.200314,0,44.535527,1,stable,0.005695,0.000011,0.019840
8.800000,0.000000,0.882722,-0.000000,0.001671,0,0.000019,1.623658,0.001260,1.356829,0.000005,0.755904,0.005386,1.629552,0.236160,0,45.341129,1,chronique,0.005411,0.000026,0.026597
8.900000,0.000000,0.904370,-0.000001,0.002032,0,0.000018,1.639597,0.001542,1.348769,0.000005,0.848155,0.005100,1.632395,0.203327,0,46.176414,1,chronique,0.005143,0.000042,0.035571
9,0.000000,0.926469,-0.000001,0.002493,0,0.000018,1.650001,0.001905,1.339942,0.000005,0.959418,0.004836,1.635722,0.159388,0,50.389134,1,chronique,0.004889,0.000053,0.047426
9.100000,-0.000000,0.943205,-0.000001,0.003084,0,0.000020,1.653692,0.002373,1.331227,0.000005,0.958880,0.004604,1.636473,0.104044,0,55.447682,1,chronique,0.004649,0.000045,0.062973
9.200000,-0.000000,0.952136,-0.000002,0.003841,0,0.000019,1.649426,0.002975,1.323459,0.000005,0.809586,0.004415,1.639876,0.036912,0,56.298863,1,chronique,0.004420,0.000005,0.083173
9.300000,-0.000000,0.953688,-0.000004,0.004809,0,0.000019,1.635861,0.003751,1.317356,0.000005,0.803402,0.004268,1.642918,-0.042666,0,57.176584,1,chronique,0.004199,-0.000069,0.109097
9.400000,-0.000000,0.949772,-0.000005,0.006046,0,0.000019,1.611551,0.004747,1.313467,0.000005,0.821324,0.004128,1.645109,-0.135650,0,58.528961,1,chronique,0.003984,-0.000144,0.141851
