t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t),gamma_regime,G_arch_used
4.300000,-0.022600,0.992063,-0.000364,0.177104,2,0.000100,3.033241,0.172114,1.347712,2.388449,0.992838,0.601612,0.061646,16.824195,-2.766305,0,8.529288,0.702113,0.838324,transitoire,0.064229,0.002583,0.323295,0.323295,0.240981,0.172114,1.347712,0,0
4.400000,-0.092530,0.990669,0.000496,0.166736,4,0.000104,1.916475,0.162579,1.349068,2.034274,0.992909,0.586417,0.098559,16.834545,10.020695,0,8.235544,0.702075,0.835228,chronique,0.061227,-0.035312,0.477991,0.477991,0.222096,0.162579,1.349068,0,0
4.500000,-0.074308,0.989045,0.000446,0.145091,4,0.000104,2.036504,0.142317,1.349383,2.946383,0.992724,0.597368,0.098588,16.834545,-11.167652,0,7.961358,0.702486,0.832269,transitoire,0.055308,-0.030923,0.650060,0.650060,0.202643,0.142317,1.349383,0,0
4.600000,-0.067464,0.987842,-0.000751,0.145248,4,0.000113,0.795400,0.140691,1.348943,2.771309,0.992760,0.589075,0.082770,15.445100,1.200281,0,7.889906,0.702719,0.829448,chronique,0.050041,0.002742,0.647398,0.647398,0.182707,0.140691,1.348943,0,0
4.700000,-0.043733,0.987566,-0.000067,0.148060,1,0.000109,1.048912,0.144303,1.347678,2.344349,0.992847,0.582579,0.068205,15.445100,-12.411037,0,7.819724,0.702856,0.826751,chronique,0.047761,-0.001911,0.750412,0.750412,0.162379,0.144303,1.347678,0,0
4.800000,-0.093447,0.988351,0.001035,0.142350,4,0.000111,1.316436,0.139283,1.345327,2.339388,0.992848,0.577348,0.121313,15.445100,2.535123,0,7.186845,0.702831,0.824170,chronique,0.045218,0.007132,0.917830,0.917830,0.141753,0.139283,1.345327,0,0
4.900000,-0.039736,0.989907,-0.000984,0.120736,4,0.000109,1.201803,0.118705,1.342542,2.778422,0.992758,0.586934,0.071146,15.445100,2.675241,0,6.648737,0.703141,0.821694,chronique,0.043535,0.021936,0.981566,0.981566,0.120927,0.118705,1.342542,0,0
5,-0.049993,0.991674,-0.002561,0.136188,4,0.000131,0.981879,0.132993,1.339781,3.002074,0.992712,0.569215,0.085224,15.445100,-1.146328,0,6.090731,0.703159,0.819323,chronique,0.043132,0.014236,0.925253,0.925253,0.100000,0.132993,1.339781,0,0
5.100000,-0.035148,0.993071,-0.001151,0.132116,4,0.000129,0.755056,0.128781,1.336998,2.489638,0.992817,0.566444,0.078565,14.298358,-2.199247,0,5.619136,0.703480,0.817045,chronique,0.042128,-0.032996,0.880202,0.880202,0.079073,0.128781,1.336998,0,0
5.200000,-0.056103,0.993711,0.000708,0.133590,4,0.000128,0.789716,0.128508,1.334349,2.271484,0.992862,0.568599,0.106827,14.298358,-2.268225,0,5.379959,0.703713,0.814861,chronique,0.037352,-0.069475,0.824162,0.824162,0.058247,0.128508,1.334349,0,0
5.300000,-0.042654,0.993500,0.000291,0.121724,4,0.000128,1.153638,0.117465,1.332312,2.309880,0.992854,0.576186,0.079243,14.298358,0.346602,0,5.160311,0.704063,0.812764,stable,0.029864,-0.044418,0.779330,0.779330,0.037621,0.117465,1.332312,0,0
5.400000,-0.025705,0.992622,-0.000305,0.125837,4,0.000130,0.603689,0.120743,1.331147,2.253450,0.992865,0.583721,0.046129,14.298358,3.639214,0,4.507034,0.704330,0.810751,stable,0.024777,0.004586,0.723464,0.723464,0.017293,0.120743,1.331147,0,0
5.500000,-0.028927,0.991442,0.001038,0.131515,4,0.000155,0.649027,0.125779,1.330859,2.182052,0.992880,0.583706,0.041940,14.298358,-5.499485,0,4.940422,0.704496,0.808816,stable,0.023909,0.032648,0.678771,0.678771,0.001000,0.125779,1.330859,0,0
5.600000,-0.030967,0.990387,0.002715,0.131968,1,0.000122,0.663487,0.127052,1.331253,2.162496,0.992884,0.594030,0.053139,13.342148,0.453380,0,4.649083,0.704676,0.806953,stable,0.025355,0.014913,0.623017,0.623017,0.001000,0.127052,1.331253,0,0
5.700000,-0.074755,0.989817,0.002238,0.129934,2,0.000122,0.479994,0.125363,1.332228,2.109533,0.992894,0.599371,0.068795,13.342148,0.144594,0,4.390191,0.704857,0.805159,stable,0.025294,0.002752,0.578413,0.578413,0.001000,0.125363,1.332228,0,0
5.800000,-0.029969,0.989924,-0.001239,0.125091,4,0.000124,0.537651,0.120864,1.334152,2.247185,0.992867,0.621344,0.029347,13.342148,-1.834930,0,4.240653,0.705290,0.803430,stable,0.024252,0.023418,0.542731,0.542731,0.001000,0.120864,1.334152,0,0
5.900000,-0.042077,0.990647,-0.002848,0.132248,4,0.000129,0.549330,0.127526,1.336968,2.586528,0.992798,0.632472,0.036943,13.342148,0.576576,0,4.237534,0.705463,0.801766,stable,0.024934,0.032432,0.514185,0.514185,0.001000,0.127526,1.336968,0,0
6,-0.048709,0.991674,-0.000741,0.132018,1,0.000147,0.383821,0.127168,1.340096,2.241773,0.992868,0.657898,0.048580,13.342148,0.116791,0,4.168132,0.705696,0.800161,stable,0.026311,0.004285,0.491348,0.491348,0.001000,0.127168,1.340096,0,0
6.100000,-0.029058,0.992522,0.001258,0.130046,4,0.000126,0.343132,0.125070,1.342951,2.094559,0.992897,0.688963,0.041046,12.532155,-1.655097,0,4.100966,0.705957,0.798613,stable,0.025342,-0.007479,0.473078,0.473078,0.001000,0.125070,1.342951,0,0
6.200000,-0.029639,0.992728,0.000286,0.130872,1,0.000147,0.245853,0.126140,1.345512,2.102351,0.992896,0.691884,0.037052,12.532155,-0.406887,0,4.168132,0.706078,0.797118,stable,0.023470,0.003299,0.458463,0.458463,0.001000,0.126140,1.345512,0,0
6.300000,-0.042058,0.992063,-0.000309,0.131971,4,0.000130,0.324481,0.127262,1.347610,2.042182,0.992908,0.710689,0.035472,12.532155,-0.972789,0,4.237534,0.706230,0.795673,stable,0.022563,-0.003392,0.446770,0.446770,0.001000,0.127262,1.347610,0,0
6.400000,-0.069401,0.990669,0.000130,0.131053,2,0.000114,0.164710,0.126501,1.348864,2.022716,0.992912,0.724801,0.051099,12.532155,0.786282,0,4.168132,0.706481,0.794276,stable,0.021161,-0.016607,0.437416,0.437416,0.001000,0.126501,1.348864,0,0
6.500000,-0.043726,0.989045,-0.000765,0.128094,4,0.000122,0.243754,0.124138,1.349277,2.024479,0.992911,0.759969,0.036914,12.532155,-1.597710,0,4.100966,0.706876,0.792925,stable,0.018759,-0.004447,0.429933,0.429933,0.001000,0.124138,1.349277,0,0
6.600000,-0.056230,0.987842,-0.001520,0.131311,4,0.000123,0.191496,0.126878,1.348994,2.154118,0.992885,0.760936,0.042771,11.829200,0.790434,0,4.050149,0.707000,0.791621,stable,0.017461,0.001938,0.423946,0.423946,0.001000,0.126878,1.348994,0,0
6.700000,-0.036558,0.987566,0.000181,0.131586,2,0.000122,0.107125,0.126991,1.347811,2.027485,0.992911,0.777259,0.038371,11.829200,-0.522577,0,4.000576,0.707189,0.790358,stable,0.016745,-0.021626,0.419157,0.419157,0.001000,0.126991,1.347811,0,0
6.800000,-0.069316,0.988351,0.001816,0.132230,1,0.000131,0.136220,0.127342,1.345642,1.983644,0.992920,0.813042,0.059101,11.829200,-0.843705,0,3.998209,0.707295,0.789135,stable,0.014158,-0.044943,0.415326,0.415326,0.001000,0.127342,1.345642,0,0
6.900000,-0.043494,0.989907,0.001167,0.130013,4,0.000130,0.180500,0.125156,1.342854,2.061975,0.992904,0.855557,0.045591,11.829200,0.290949,0,3.995845,0.707528,0.787949,stable,0.009814,-0.035777,0.412260,0.412260,0.001000,0.125156,1.342854,0,0
7,-0.009812,0.991674,-0.000198,0.132187,4,0.000129,0.119432,0.127155,1.339929,2.050070,0.992906,0.856609,0.016706,11.829200,0.442796,0,3.794845,0.707776,0.786800,stable,0.006429,-0.003909,0.409808,0.409808,0.001000,0.127155,1.339929,0,0
7.100000,-0.031144,0.993071,-0.000141,0.134695,4,0.000134,0.128228,0.129581,1.337109,1.961400,0.992924,0.856608,0.020119,11.218593,-0.610676,0,3.995845,0.707793,0.785687,stable,0.005792,0.022500,0.407847,0.407847,0.001000,0.129581,1.337109,0,0
7.200000,-0.023570,0.993711,0.000832,0.134228,4,0.000139,0.062470,0.129173,1.334517,2.083013,0.992900,0.859500,0.021338,11.218593,0.087954,0,3.998209,0.707899,0.784605,stable,0.007322,0.022835,0.406277,0.406277,0.001000,0.129173,1.334517,0,0
7.300000,-0.044675,0.993500,0.001121,0.134326,4,0.000144,0.059920,0.129245,1.332318,1.938106,0.992929,0.855776,0.034207,11.218593,-0.657577,0,4.000576,0.707866,0.783554,stable,0.008804,0.008910,0.405022,0.405022,0.001000,0.129245,1.332318,0,0
7.400000,-0.034894,0.992622,-0.000118,0.132274,4,0.000135,0.101806,0.127528,1.330839,1.922786,0.992932,0.855787,0.033866,11.218593,-0.025500,0,3.998209,0.707927,0.782532,stable,0.009084,0.005404,0.404018,0.404018,0.001000,0.127528,1.330839,0,0
7.500000,-0.054691,0.991442,-0.001578,0.132908,4,0.000142,0.093249,0.128049,1.330391,1.904923,0.992935,0.857390,0.042785,11.218593,0.418854,0,3.995845,0.708094,0.781537,stable,0.009067,0.014546,0.403214,0.403214,0.001000,0.128049,1.330391,0,0
7.600000,-0.061968,0.990387,-0.001496,0.132347,1,0.000121,0.057399,0.127516,1.331002,1.874120,0.992942,0.839993,0.039871,10.672239,-0.085567,0,3.809324,0.708344,0.780570,stable,0.009791,0.016211,0.402571,0.402571,0.001000,0.127516,1.331002,0,0
7.700000,-0.059696,0.989817,-0.000063,0.132056,1,0.000120,0.061687,0.127319,1.332424,1.823425,0.992952,0.841810,0.042718,10.672239,-0.358498,0,3.639440,0.708670,0.779632,stable,0.010613,0.006050,0.402057,0.402057,0.001000,0.127319,1.332424,0,0
7.800000,-0.028893,0.989924,0.000650,0.131916,4,0.000120,0.079628,0.127198,1.334442,1.805998,0.992955,0.843208,0.024200,10.672239,0.042884,0,3.626221,0.708442,0.778723,stable,0.010571,0.011212,0.401646,0.401646,0.001000,0.127198,1.334442,0,0
