t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
9.600000,0.000813,0.934548,0.000279,0.137614,1,0.000019,1.140964,0.132481,1.313476,0.006838,0.675346,0.024049,1.491306,-0.478837,0,9.500879,1,stable,0.003624,0.007554,0.231475,0.017293,0.132481,1.313476
9.700000,0.003365,0.927558,-0.000012,0.140170,1,0.000019,1.074250,0.135063,1.317354,0.006848,0.776677,0.029125,1.491306,0.200543,0,9.486444,1,stable,0.004054,0.023964,0.289050,0.037621,0.135063,1.317354
9.800000,0.000026,0.923592,-0.000231,0.142355,3,0.000020,1.013392,0.137534,1.323500,0.006947,0.833470,0.020621,1.491306,-0.667143,0,9.387670,1,stable,0.005790,-0.003265,0.354344,0.058247,0.137534,1.323500
9.900000,-0.002235,0.923588,0.000340,0.149532,2,0.000020,1.021880,0.143951,1.331227,0.008301,0.787350,0.044498,1.491306,-0.608579,0,9.486444,1,stable,0.005236,-0.039262,0.425557,0.079073,0.143951,1.331227
10,-0.001452,0.926469,-0.000178,0.146456,1,0.000022,0.895937,0.141434,1.339937,0.007354,0.786355,0.051704,1.491306,0.084882,0,9.387670,1,stable,0.001798,-0.005859,0.500000,0.100000,0.141434,1.339937
10.100000,-0.000830,0.928852,-0.000133,0.140455,2,0.000020,1.123699,0.137557,1.348909,0.007718,0.795168,0.063182,1.486105,-1.259431,0,9.290932,1,stable,0.001234,0.001164,0.574443,0.120927,0.137557,1.348909
10.200000,0.001981,0.926365,0.001949,0.146607,2,0.000020,0.862092,0.141950,1.356699,0.007449,0.799420,0.055574,1.486105,2.277623,0,9.056766,1,stable,0.001267,0.049349,0.645656,0.141753,0.141950,1.356699
10.300000,0.001249,0.916137,-0.001203,0.155051,4,0.000019,0.814177,0.149257,1.363164,0.007691,0.863350,0.067380,1.486105,-2.616070,0,8.834112,1,stable,0.005196,0.016909,0.710950,0.162379,0.149257,1.363164
10.400000,-0.000195,0.899078,-0.000873,0.150535,2,0.000020,1.186172,0.144841,1.367301,0.007852,0.787224,0.071549,1.486105,-0.479159,0,8.666771,1,stable,0.006304,-0.007393,0.768525,0.182707,0.144841,1.367301
10.500000,0.001923,0.880554,-0.002500,0.149163,1,0.000020,1.026931,0.146141,1.368819,0.007681,0.745732,0.095806,1.486105,3.719958,0,8.834112,1,stable,0.005391,0.052268,0.817574,0.202643,0.146141,1.368819
10.600000,0.000191,0.868472,-0.001080,0.136935,4,0.000020,0.677853,0.133971,1.367861,0.008000,0.774822,0.061008,1.481048,-1.592415,0,8.666771,1,stable,0.009350,0.024152,0.858149,0.222096,0.133971,1.367861
